2,Open,Close,High,Low,Volume,ATR,PL,pl_value,SMA_k7,SMA_k20,SMA_k50
2023-06-08 11:05:00,428.1,428.1881,428.1882,428.1,45869.0,0.12912488897335211,0,-20.000000000038654,1.0002536432554177,1.0000621622381154,1.0000293631606985
2023-06-08 11:06:00,428.19,428.09,428.26,428.07,68454.0,0.12940512722601347,0,-129.4051272259935,1.0004939833271365,1.0002817533858237,1.0002336518152903
2023-06-08 11:07:00,428.09,428.09,428.14,428.04,45285.0,0.13010534669295776,0,-130.10534669297158,1.0002336503189326,1.000043474056979,0.9999925810543637
2023-06-08 11:08:00,428.1,428.08,428.145,428.075,31871.0,0.1296656186761397,0,-129.66561867614246,1.0002269677772513,1.0000726752182343,1.0000072974136818
2023-06-08 11:09:00,428.09,428.0301,428.095,427.95,76904.0,0.12978664286692285,0,-129.7866428669181,1.0001401770903908,1.0000376336898287,0.9999713246093557
2023-06-08 11:10:00,428.04,428.12,428.18,428.02,78423.0,0.12978664286692285,1,194.67996430040557,0.9999466033025858,0.999920843103989,0.9998419182747847
2023-06-08 11:11:00,428.1278,428.175,428.195,428.08,37538.0,0.12808122906224118,1,12.200000000007094,1.0000849618239094,1.0001262399265023,1.0000423816649442
2023-06-08 11:12:00,428.17,428.165,428.26,428.15,119906.0,0.11886144194376624,0,-68.70000000003529,1.000150897419187,1.0002058017402744,1.0001382539247805
2023-06-08 11:13:00,428.16,428.23,428.26,428.15,47769.0,0.1113635902712151,1,129.99999999999545,1.0001041775184916,1.000176600689023,1.0001106905021524
2023-06-08 11:14:00,428.23,428.14,428.2454,428.13,40122.0,0.10904045426660199,0,-109.04045426661924,1.0002776982664514,1.000331356988041,1.0002711614753599
2023-06-08 11:15:00,428.155,428.1013,428.17,428.0599,61398.0,0.11747388281170372,1,195.00000000005002,1.0000557906526497,1.0001398053680355,1.0000894335561465
2023-06-08 11:16:00,428.0962,428.29,428.3,428.09,96470.0,0.11839513664400561,1,177.59270496600266,0.9999000991934262,1.0000030367098511,0.9999509199831004
2023-06-08 11:17:00,428.28,428.2999,428.3,428.2216,51043.0,0.1095302350082085,1,164.2953525123403,1.0003273296209283,1.0004509364172176,1.0003777086882546
2023-06-08 11:18:00,428.29,428.35,428.38,428.28,59793.0,0.10119719551921012,1,151.7957932788363,1.0002705841648543,1.000470802231749,1.0003905514996216
